date,K_t,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,p_g0,p_g1,p_g2,p_g3,p_g4,p_g5,dominant_regime
2025-09-08,2,0.006625834385507807,0.5999999999338235,1.9230769236589873,1.1943307495452978e-11,0.5999999997388775,1.9758961790009755e-11,3.4474240943521436e-11,0.40000000019494597,0.9901397706361829,0.009860229363817183,0.0,0.0,0.0,0.0,0
2025-09-09,2,-0.0018116881706627004,5.303605617799004e-10,1.9230769241498615,0.0,0.5999999992746935,0.0,0.0,0.40000000072530656,0.9911906782128076,0.008809321787192369,0.0,0.0,0.0,0.0,0
2025-09-10,2,0.0037112475460445928,1.1822126610994133e-10,1.9230769243247456,0.0,0.5999999991564722,0.0,0.0,0.40000000084352777,0.9899492225192325,0.010050777480767527,0.0,0.0,0.0,0.0,0
2025-09-11,2,0.0026840886485011476,1.2068596122460917e-11,1.9230769243425982,0.0,0.5999999991444036,0.0,0.0,0.4000000008555964,0.99119165220139,0.008808347798610004,0.0,0.0,0.0,0.0,0
2025-09-12,2,-0.00201124608261451,1.1498330065862206e-11,1.923076924359607,0.0,0.5999999991329054,0.0,0.0,0.4000000008670948,0.9911969474652911,0.008803052534708934,0.0,0.0,0.0,0.0,0
2025-09-15,2,8.264364087137217e-05,3.6287056692785313e-11,1.923076924413287,0.0,0.5999999990966182,0.0,0.0,0.4000000009033817,0.990028650075991,0.009971349924009082,0.0,0.0,0.0,0.0,0
2025-09-16,2,-0.0012355504754371373,2.3088198020104755e-11,1.9230769244474413,0.0,0.59999999907353,0.0,0.0,0.4000000009264699,0.989950777637926,0.010049222362073972,0.0,0.0,0.0,0.0,0
2025-09-17,2,-0.00020456114666874117,8.697736975094017e-12,1.9230769244345747,0.0,0.5999999990822277,0.0,0.0,0.40000000091777216,0.991226162471411,0.008773837528589002,0.0,0.0,0.0,0.0,0
2025-09-18,2,-0.004318077586516254,1.2098905211033184e-11,1.9230769244524717,0.0,0.5999999990701289,0.0,0.0,0.4000000009298712,0.9908198159793297,0.009180184020670355,0.0,0.0,0.0,0.0,0
2025-09-19,2,2.357755924536221e-05,3.019995364894612e-11,1.923076924497147,0.0,0.5999999990399288,0.0,0.0,0.40000000096007104,0.9899640706304492,0.010035929369550823,0.0,0.0,0.0,0.0,0
2025-09-22,2,-0.003621643463442944,8.908318527289794e-12,1.923076924483968,0.0,0.5999999990488373,0.0,0.0,0.40000000095116284,0.991067017333079,0.00893298266692099,0.0,0.0,0.0,0.0,0
2025-09-23,2,0.0038864681312824434,1.2360112933151868e-12,1.9230769244857964,0.0,0.5999999990476013,0.0,0.0,0.40000000095239885,0.9912081953445347,0.00879180465546536,0.0,0.0,0.0,0.0,0
2025-09-24,2,0.0006304500849478585,4.750755344673507e-12,1.9230769244928252,0.0,0.5999999990428504,0.0,0.0,0.4000000009571495,0.9912303584334072,0.008769641566592778,0.0,0.0,0.0,0.0,0
2025-09-25,2,0.00275313571315616,6.103506589028029e-12,1.9230769245018535,0.0,0.599999999036747,0.0,0.0,0.40000000096325306,0.9911112354185717,0.008888764581428354,0.0,0.0,0.0,0.0,0
2025-09-26,2,-0.001986416378032462,5.809602798834135e-12,1.9230769244932597,0.0,0.5999999990425565,0.0,0.0,0.4000000009574434,0.9901593491545194,0.009840650845480591,0.0,0.0,0.0,0.0,0
2025-09-29,2,0.004036229885524893,1.6718182394015457e-11,1.9230769244685284,0.0,0.5999999990592747,0.0,0.0,0.40000000094072524,0.9912337773201088,0.008766222679891278,0.0,0.0,0.0,0.0,0
2025-09-30,2,-0.002178912851496265,2.3306079288687442e-12,1.923076924471976,0.0,0.5999999990569441,0.0,0.0,0.4000000009430559,0.9910895512571929,0.008910448742807076,0.0,0.0,0.0,0.0,0
2025-10-01,2,0.0014020798454537219,1.7891521597590554e-12,1.9230769244746224,0.0,0.599999999055155,0.0,0.0,0.40000000094484506,0.9912364009326697,0.008763599067330315,0.0,0.0,0.0,0.0,0
2025-10-02,2,0.0023260081326456575,3.621683508647777e-11,1.9230769245281985,0.0,0.5999999990189381,0.0,0.0,0.4000000009810618,0.99000223475099,0.009997765249009973,0.0,0.0,0.0,0.0,0
2025-10-03,2,-0.0018670728004513326,6.36657393471296e-13,1.92307692452914,0.0,0.5999999990183015,0.0,0.0,0.4000000009816985,0.9900906852618542,0.009909314738145818,0.0,0.0,0.0,0.0,0
2025-10-06,2,-0.0028980253593373934,2.093741846564967e-11,1.923076924498167,0.0,0.599999999039239,0.0,0.0,0.40000000096076116,0.9997791020318864,0.0,0.0,0.0,0.00022089796811365907,0.0,0
2025-10-07,2,0.005751666067693128,1.5054626989474684e-10,1.9230769247208686,0.0,0.5999999988886927,0.0,0.0,0.40000000111130746,0.9912172642742567,0.00878273572574327,0.0,0.0,0.0,0.0,0
2025-10-08,2,0.0013336749620375021,2.577921209834244e-11,1.9230769247590036,0.0,0.5999999988629134,0.0,0.0,0.4000000011370866,0.9912235920542427,0.008776407945757283,0.0,0.0,0.0,0.0,0
2025-10-09,2,0.0022499248297685615,2.900485407408837e-12,1.923076924763294,0.0,0.599999998860013,0.0,0.0,0.4000000011399871,0.9911659352267238,0.008834064773276156,0.0,0.0,0.0,0.0,0
2025-10-10,2,0.007607945040626872,2.022776390830927e-11,1.9230769247932173,0.0,0.5999999988397852,0.0,0.0,0.40000000116021484,0.9894417239562681,0.010558276043731983,0.0,0.0,0.0,0.0,0
2025-10-13,2,0.0011005895180550254,1.7211843061915033e-11,1.9230769247677566,0.0,0.599999998856997,0.0,0.0,0.40000000114300294,0.9889507243241143,0.01104927567588568,0.0,0.0,0.0,0.0,0
2025-10-14,2,0.0007731589359457836,4.680802967449438e-11,1.9230769246985129,0.0,0.5999999989038051,0.0,0.0,0.400000001096195,0.991088463890969,0.008911536109030973,0.0,0.0,0.0,0.0,0
2025-10-15,2,-0.0024703705741626566,6.401884578011163e-11,1.9230769247932162,0.0,0.5999999988397862,0.0,0.0,0.4000000011602138,0.9871070899858473,0.012892910014152768,0.0,0.0,0.0,0.0,0
2025-10-16,2,0.0028993204495351456,5.174707884414431e-11,1.9230769247166661,0.0,0.5999999988915333,0.0,0.0,0.4000000011084668,0.9904678943412122,0.009532105658787855,0.0,0.0,0.0,0.0,0
2025-10-17,2,-0.0004876723642745956,2.8300806143022328e-11,1.9230769246748012,0.0,0.5999999989198341,0.0,0.0,0.400000001080166,0.9913043748511022,0.008695625148897775,0.0,0.0,0.0,0.0,0
2025-10-20,2,0.003306001122412636,2.9864527517631245e-11,1.9230769247189807,0.0,0.5999999988899695,0.0,0.0,0.40000000111003037,0.9898298249458071,0.010170175054192883,0.0,0.0,0.0,0.0,0
2025-10-21,2,0.00452048274821472,5.72253910924303e-11,1.923076924803633,0.0,0.5999999988327441,0.0,0.0,0.4000000011672558,0.9875169107261443,0.012483089273855628,0.0,0.0,0.0,0.0,0
2025-10-22,2,-3.869890849824315e-05,4.247086016206936e-11,1.92307692486646,0.0,0.5999999987902732,0.0,0.0,0.4000000012097266,0.9841446273139778,0.015855372686022186,0.0,0.0,0.0,0.0,0
2025-10-23,2,-0.003976846663474933,8.588258992858755e-10,1.923076926136912,0.0,0.5999999979314474,0.0,0.0,0.40000000206855263,0.9075344448243079,0.09246555517569208,0.0,0.0,0.0,0.0,0
2025-10-24,2,0.00026247101961319915,1.0992438903567603e-09,1.9230769245108115,0.0,0.5999999990306913,0.0,0.0,0.40000000096930877,0.03736197246759017,0.9626380275324098,0.0,0.0,0.0,0.0,1
2025-10-27,2,0.0015997675456418097,2.990607483877028e-10,1.923076924953209,0.0,0.5999999987316306,0.0,0.0,0.4000000012683695,0.2623560335556945,0.7376439664443056,0.0,0.0,0.0,0.0,1
2025-10-28,2,0.0012799074710769115,1.5653667251314118e-10,1.9230769247216462,0.0,0.5999999988881672,0.0,0.0,0.4000000011118328,0.9905380978844067,0.00946190211559323,0.0,0.0,0.0,0.0,0
2025-10-29,2,-0.0038041215635770368,3.263714298817888e-11,1.9230769246733663,0.0,0.5999999989208044,0.0,0.0,0.40000000107919564,1.0,0.0,1.0775228955139965e-57,0.0,0.0,0.0,0
2025-10-30,2,-0.0019340291771889043,3.55593360312767e-10,1.9230769251993918,0.0,0.599999998565211,0.0,0.0,0.40000000143478903,0.979702320203073,0.02029767979692705,0.0,0.0,0.0,0.0,0
2025-10-31,2,-0.0006556059264293197,9.560513491990719e-11,1.9230769250579645,0.0,0.5999999986608161,0.0,0.0,0.40000000133918384,0.9895811992123131,0.010418800787686842,0.0,0.0,0.0,0.0,0
2025-11-03,2,-0.00121892990095927,5.1306320303368125e-11,1.9230769249820678,0.0,0.5999999987121224,0.0,0.0,0.4000000012878775,0.9909740043782942,0.009025995621705897,0.0,0.0,0.0,0.0,0
2025-11-04,2,0.002608991472679998,1.7011364539243345e-11,1.9230769249569026,0.0,0.5999999987291338,0.0,0.0,0.40000000127086616,0.9909361404638259,0.009063859536174106,0.0,0.0,0.0,0.0,0
2025-11-05,2,-0.006432421014896522,2.040531632552245e-11,1.9230769249267172,0.0,0.5999999987495391,0.0,0.0,0.40000000125046087,0.9899127437827235,0.010087256217276443,0.0,0.0,0.0,0.0,0
2025-11-06,2,0.0032481376035990613,3.136202408882127e-11,1.923076924880324,0.0,0.5999999987809012,0.0,0.0,0.40000000121909884,0.9910046672570978,0.008995332742902309,0.0,0.0,0.0,0.0,0
2025-11-07,2,-0.0015554528808683693,1.1882411721231279e-11,1.9230769248627464,0.0,0.5999999987927835,0.0,0.0,0.4000000012072164,0.9909002307301256,0.009099769269874491,0.0,0.0,0.0,0.0,0
2025-11-10,2,0.00014998952883320734,1.6798229474090931e-12,1.923076924860261,0.0,0.5999999987944634,0.0,0.0,0.40000000120553664,0.9901724478747002,0.009827552125299833,0.0,0.0,0.0,0.0,0
2025-11-11,2,0.0021726494281925617,2.298511381226831e-11,1.92307692482626,0.0,0.5999999988174485,0.0,0.0,0.40000000118255147,0.9910269019652049,0.00897309803479516,0.0,0.0,0.0,0.0,0
2025-11-12,2,0.0012083016810156657,4.3223757906218907e-13,1.9230769248256194,0.0,0.5999999988178808,0.0,0.0,0.4000000011821193,0.9905547038949191,0.009445296105080958,0.0,0.0,0.0,0.0,0
2025-11-13,2,-0.006085527556316709,4.1011638529653283e-13,1.923076924825014,0.0,0.5999999988182908,0.0,0.0,0.4000000011817091,0.9903288455770693,0.009671154422930634,0.0,0.0,0.0,0.0,0
2025-11-14,2,-0.0028637511174586143,1.9003409956752648e-11,1.923076924796902,0.0,0.5999999988372943,0.0,0.0,0.40000000116270573,0.9910323117661085,0.008967688233891513,0.0,0.0,0.0,0.0,0
2025-11-17,2,0.0024783097396582493,1.281677541875581e-11,1.9230769247779425,0.0,0.599999998850111,0.0,0.0,0.40000000114988893,0.9899055933984937,0.010094406601506267,0.0,0.0,0.0,0.0,0
2025-11-18,2,0.00022353619703322793,3.1365299246743916e-11,1.9230769247315445,0.0,0.5999999988814763,0.0,0.0,0.4000000011185236,0.9895423556713107,0.01045764432868934,0.0,0.0,0.0,0.0,0
2025-11-19,2,0.0013302432413352609,3.1891433938113778e-12,1.923076924726826,0.0,0.5999999988846655,0.0,0.0,0.4000000011153345,0.989689170786133,0.010310829213866985,0.0,0.0,0.0,0.0,0
2025-11-20,2,0.0026398582512335627,3.437591877819557e-11,1.9230769246759742,0.0,0.5999999989190414,0.0,0.0,0.4000000010809586,0.9911336401737842,0.008866359826215801,0.0,0.0,0.0,0.0,0
2025-11-21,2,0.0015310875183501798,1.7451678990809683e-11,1.9230769247017903,0.0,0.5999999989015897,0.0,0.0,0.4000000010984103,0.9888404029149155,0.0111595970850845,0.0,0.0,0.0,0.0,0
2025-11-24,2,0.0034092512116257368,3.585096108871255e-11,1.9230769246487562,0.0,0.5999999989374407,0.0,0.0,0.40000000106255934,0.9904694898878739,0.009530510112126205,0.0,0.0,0.0,0.0,0
2025-11-25,2,0.00040240310954310594,2.2616353234639064e-11,1.9230769246153,0.0,0.5999999989600571,0.0,0.0,0.400000001039943,0.9911156399365993,0.008884360063400697,0.0,0.0,0.0,0.0,0
2025-11-26,2,0.0015217718959174785,5.146577608527991e-12,1.9230769246076869,0.0,0.5999999989652036,0.0,0.0,0.4000000010347964,0.9911317293864605,0.008868270613539501,0.0,0.0,0.0,0.0,0
2025-11-28,2,-0.0031366814521354993,1.30332411529821e-11,1.9230769246269668,0.0,0.5999999989521704,0.0,0.0,0.4000000010478296,0.9904120573800466,0.009587942619953466,0.0,0.0,0.0,0.0,0
2025-12-01,2,-0.007657896156808187,1.145239458821834e-11,1.9230769246100257,0.0,0.5999999989636228,0.0,0.0,0.40000000103637723,0.9890284410920689,0.010971558907931068,0.0,0.0,0.0,0.0,0
2025-12-02,2,0.00012840274399347952,4.798392239102611e-11,1.923076924539043,0.0,0.5999999990116067,0.0,0.0,0.40000000098839333,0.9911888341267261,0.00881116587327401,0.0,0.0,0.0,0.0,0
2025-12-03,2,-0.0003048534038616155,7.783718114495741e-12,1.9230769245275292,0.0,0.5999999990193904,0.0,0.0,0.40000000098060956,0.9912079309964891,0.008792069003510952,0.0,0.0,0.0,0.0,0
2025-12-04,2,-0.002387806387560985,4.344274939782622e-12,1.923076924533956,0.0,0.5999999990150461,0.0,0.0,0.4000000009849538,0.9910513534792409,0.008948646520759126,0.0,0.0,0.0,0.0,0
2025-12-05,2,-0.003210717571932683,7.340239527309222e-13,1.9230769245328696,0.0,0.5999999990157802,0.0,0.0,0.40000000098421984,0.9912665940781104,0.008733405921889667,0.0,0.0,0.0,0.0,0
2025-12-08,2,-0.0014073284282980028,7.184197681198157e-12,1.9230769245434975,0.0,0.5999999990085959,0.0,0.0,0.400000000991404,0.9910465014666646,0.008953498533335427,0.0,0.0,0.0,0.0,0
2025-12-09,2,0.0011827624875525358,1.5184797863554422e-11,1.92307692456596,0.0,0.5999999989934112,0.0,0.0,0.40000000100658883,0.9902092326417804,0.009790767358219604,0.0,0.0,0.0,0.0,0
2025-12-10,2,0.0001781267178347036,1.6569801086774305e-12,1.9230769245684103,0.0,0.5999999989917543,0.0,0.0,0.4000000010082459,0.9901514118403638,0.0098485881596362,0.0,0.0,0.0,0.0,0
2025-12-11,2,-0.002246405874233095,6.557920873007106e-12,1.9230769245587094,0.0,0.5999999989983121,0.0,0.0,0.4000000010016879,0.9902343353200502,0.009765664679949852,0.0,0.0,0.0,0.0,0
2025-12-12,2,-0.005238260749641599,2.1108198522412636e-11,1.9230769245274844,0.0,0.5999999990194204,0.0,0.0,0.40000000098057975,0.991242010082644,0.008757989917355978,0.0,0.0,0.0,0.0,0
2025-12-15,2,0.00012577298201504422,8.706646514866634e-13,1.9230769245261967,0.0,0.599999999020291,0.0,0.0,0.40000000097970906,0.9912463572748309,0.008753642725169129,0.0,0.0,0.0,0.0,0
2025-12-16,2,0.0028562304140622905,2.5750235277399725e-12,1.923076924530006,0.0,0.599999999017716,0.0,0.0,0.40000000098228405,0.9912709299403106,0.008729070059689372,0.0,0.0,0.0,0.0,0
2025-12-17,2,0.00031287496207882496,7.59767249114418e-12,1.9230769245412456,0.0,0.5999999990101182,0.0,0.0,0.4000000009898817,0.9910798645101664,0.008920135489833609,0.0,0.0,0.0,0.0,0
2025-12-18,2,0.003149413750207018,6.676881270095691e-13,1.923076924542233,0.0,0.5999999990094506,0.0,0.0,0.4000000009905494,0.99125529658321,0.008744703416790012,0.0,0.0,0.0,0.0,0
2025-12-19,2,-0.0009590864133926704,7.34984295647223e-12,1.923076924553105,0.0,0.5999999990021008,0.0,0.0,0.4000000009978993,0.9910242004744862,0.008975799525513774,0.0,0.0,0.0,0.0,0
2025-12-22,2,-0.002972266036880798,4.38676872605015e-13,1.9230769245524566,0.0,0.5999999990025394,0.0,0.0,0.4000000009974606,0.9912434641270086,0.00875653587299142,0.0,0.0,0.0,0.0,0
2025-12-23,2,-0.0003733393684064915,5.351857845781183e-12,1.9230769245603732,0.0,0.5999999989971876,0.0,0.0,0.40000000100281247,0.9911205292813058,0.00887947071869419,0.0,0.0,0.0,0.0,0
2025-12-24,2,0.003771772121174569,4.9974829829935175e-11,1.9230769246343002,0.0,0.5999999989472128,0.0,0.0,0.4000000010527873,0.9896235100708769,0.010376489929123059,0.0,0.0,0.0,0.0,0
2025-12-26,2,-0.00168311887497986,2.882866168008036e-11,1.9230769246769466,0.0,0.5999999989183841,0.0,0.0,0.40000000108161593,0.9894916518665303,0.010508348133469701,0.0,0.0,0.0,0.0,0
2025-12-29,2,0.002400715890866227,3.624656130796211e-11,1.9230769246233275,0.0,0.5999999989546306,0.0,0.0,0.40000000104536937,0.9898928254646232,0.010107174535376759,0.0,0.0,0.0,0.0,0
2025-12-30,2,-0.0003959123590787313,3.634142986541633e-11,1.9230769245695687,0.0,0.599999998990972,0.0,0.0,0.4000000010090279,0.9912595647081274,0.008740435291872607,0.0,0.0,0.0,0.0,0
2025-12-31,2,-0.005095320545422736,2.6817437159820656e-12,1.9230769245735344,0.0,0.5999999989882904,0.0,0.0,0.40000000101170974,0.9909584817690954,0.009041518230904618,0.0,0.0,0.0,0.0,0
2026-01-02,2,0.00028655547214828176,5.029140992540704e-11,1.9230769246479305,0.0,0.5999999989379989,0.0,0.0,0.4000000010620011,0.04171854158487999,0.95828145841512,0.0,0.0,0.0,0.0,1
2026-01-05,2,0.0023665517114321664,8.404729689992507e-11,1.9230769245236,0.0,0.5999999990220463,0.0,0.0,0.40000000097795385,0.9911349499973873,0.008865050002612822,0.0,0.0,0.0,0.0,0
2026-01-06,2,9.156799881518391e-05,2.34374186725006e-11,1.9230769244889296,0.0,0.5999999990454836,0.0,0.0,0.4000000009545164,0.9913007770341928,0.008699222965807255,0.0,0.0,0.0,0.0,0
2026-01-07,2,0.004084420120001889,1.10772502281975e-12,1.9230769244872905,0.0,0.5999999990465914,0.0,0.0,0.4000000009534087,0.9913823740920309,0.008617625907969115,0.0,0.0,0.0,0.0,0
2026-01-08,2,-0.0019866252131556395,5.701272787206335e-12,1.9230769244957249,0.0,0.5999999990408901,0.0,0.0,0.4000000009591099,0.9913920496103844,0.008607950389615614,0.0,0.0,0.0,0.0,0
2026-01-09,2,0.0048499125678098855,2.924743780496897e-11,1.9230769245389907,0.0,0.5999999990116426,0.0,0.0,0.4000000009883573,0.9902236837519972,0.009776316248002783,0.0,0.0,0.0,0.0,0
2026-01-12,2,-0.002509256346387444,6.319750278649394e-12,1.9230769245483388,0.0,0.5999999990053229,0.0,0.0,0.4000000009946771,0.9902358730854822,0.009764126914517827,0.0,0.0,0.0,0.0,0
2026-01-13,2,0.0020507750977622734,2.078706651253981e-11,1.9230769245175894,0.0,0.5999999990261099,0.0,0.0,0.40000000097389,0.991442045003532,0.00855795499646809,0.0,0.0,0.0,0.0,0
2026-01-14,2,0.0031817395100562722,6.05724637114946e-11,1.923076924607193,0.0,0.5999999989655375,0.0,0.0,0.4000000010344625,0.9894847174450553,0.01051528255494469,0.0,0.0,0.0,0.0,0
2026-01-15,2,0.0013250473758590713,2.382227748398691e-11,1.9230769245719532,0.0,0.5999999989893597,0.0,0.0,0.4000000010106402,0.9900574229267302,0.009942577073269884,0.0,0.0,0.0,0.0,0
2026-01-16,2,-0.0034750944672604163,3.101052747922495e-11,1.9230769245260795,0.0,0.5999999990203703,0.0,0.0,0.4000000009796297,0.9914065145004709,0.008593485499529097,0.0,0.0,0.0,0.0,0
2026-01-20,2,-0.011131820603826415,7.397860102287268e-12,1.9230769245370232,0.0,0.5999999990129724,0.0,0.0,0.40000000098702754,0.9911931424708179,0.008806857529182132,0.0,0.0,0.0,0.0,0
2026-01-21,2,0.005433855702756284,1.685512840410297e-12,1.923076924539517,0.0,0.5999999990112869,0.0,0.0,0.400000000988713,0.9914075938054585,0.008592406194541446,0.0,0.0,0.0,0.0,0
2026-01-22,2,0.000841639084090259,1.739811072987152e-11,1.9230769245652533,0.0,0.5999999989938888,0.0,0.0,0.40000000100611116,0.9910625731389747,0.008937426861025284,0.0,0.0,0.0,0.0,0
2026-01-23,2,-0.0019117006200240064,1.6425113213980325e-09,1.9230769269950043,0.0,0.5999999973513774,0.0,0.0,0.40000000264862245,0.7424858445406373,0.2575141554593627,0.0,0.0,0.0,0.0,0
2026-01-26,2,0.0009220182365098922,1.264439553061436e-09,1.9230769251245308,0.0,0.5999999986158171,0.0,0.0,0.400000001384183,0.9914780163986611,0.008521983601338934,0.0,0.0,0.0,0.0,0
2026-01-27,2,-0.00840412216959945,2.1430540675382304e-10,1.923076924807511,0.0,0.5999999988301224,0.0,0.0,0.40000000116987755,0.9894528162633337,0.010547183736666313,0.0,0.0,0.0,0.0,0
2026-01-28,2,0.0010421950467625033,2.3640561730431386e-11,1.9230769247725399,0.0,0.599999998853763,0.0,0.0,0.40000000114623696,0.9892507905643599,0.010749209435640145,0.0,0.0,0.0,0.0,0
2026-01-29,2,-0.0004642815350662036,4.3777925728960554e-11,1.9230769247077795,0.0,0.599999998897541,0.0,0.0,0.4000000011024591,0.9918723272792868,0.008127672720713259,0.0,0.0,0.0,0.0,0
2026-01-30,2,0.0005274078622923126,3.1285612989151446e-11,1.9230769247540602,0.0,0.5999999988662553,0.0,0.0,0.4000000011337447,0.9907032849640736,0.009296715035926537,0.0,0.0,0.0,0.0,0
2026-02-02,2,0.00036351385722469426,8.39972535970901e-12,1.9230769247416346,0.0,0.599999998874655,0.0,0.0,0.40000000112534495,0.10021062099103507,0.8997893790089649,0.0,0.0,0.0,0.0,1
2026-02-03,2,0.0004152837624623802,7.754760722455956e-11,1.9230769246269193,0.0,0.5999999989522027,0.0,0.0,0.40000000104779737,0.04867083336586565,0.9513291666341344,0.0,0.0,0.0,0.0,1
2026-02-04,2,-0.00018834188410399186,1.3581219482361462e-11,1.9230769246068293,0.0,0.5999999989657838,0.0,0.0,0.40000000103421607,0.03901202917275341,0.9609879708272466,0.0,0.0,0.0,0.0,1
2026-02-05,2,0.007665105736075673,1.0553585783057429e-11,1.9230769246224404,0.0,0.5999999989552303,0.0,0.0,0.4000000010447697,0.04994001575853013,0.9500599842414699,0.0,0.0,0.0,0.0,1
2026-02-06,2,-0.0007716260340242199,1.5746154380380517e-11,1.9230769245991473,0.0,0.5999999989709764,0.0,0.0,0.40000000102902356,0.03335247196354418,0.9666475280364558,0.0,0.0,0.0,0.0,1
2026-02-09,2,-0.0034084923014789624,2.6225271954061213e-11,1.9230769246379418,0.0,0.5999999989447512,0.0,0.0,0.40000000105524885,0.04947542034323976,0.9505245796567603,0.0,0.0,0.0,0.0,1
2026-02-10,2,0.007033741580553853,9.378886556277166e-12,1.923076924624068,0.0,0.59999999895413,0.0,0.0,0.4000000010458699,0.040928838340637846,0.9590711616593621,0.0,0.0,0.0,0.0,1
2026-02-11,2,-0.002746342661142266,1.2293277507069433e-11,1.923076924642253,0.0,0.5999999989418369,0.0,0.0,0.4000000010581633,0.053264432706593964,0.946735567293406,0.0,0.0,0.0,0.0,1
2026-02-12,2,0.007770277894977202,1.4866663455848084e-11,1.923076924620261,0.0,0.5999999989567034,0.0,0.0,0.4000000010432965,0.04010753542874642,0.9598924645712535,0.0,0.0,0.0,0.0,1
2026-02-13,2,0.003285820546776529,3.93707288992573e-12,1.9230769246144375,0.0,0.5999999989606405,0.0,0.0,0.40000000103935945,0.032369163731531765,0.9676308362684682,0.0,0.0,0.0,0.0,1
2026-02-17,2,0.002342338688548363,2.5908719614164966e-11,1.923076924652763,0.0,0.5999999989347319,0.0,0.0,0.4000000010652683,0.04920188430841787,0.9507981156915821,0.0,0.0,0.0,0.0,1
2026-02-18,2,0.000244733157047724,1.111832848010863e-12,1.9230769246544086,0.0,0.5999999989336199,0.0,0.0,0.40000000106637995,0.05218455249709498,0.947815447502905,0.0,0.0,0.0,0.0,1
2026-02-19,2,0.0011932979296767003,3.5981495560832855e-12,1.9230769246490855,0.0,0.5999999989372181,0.0,0.0,0.4000000010627819,0.05225161291485031,0.9477483870851497,0.0,0.0,0.0,0.0,1
2026-02-20,2,-0.0018503241879335366,2.449618285993438e-11,1.9230769246128487,0.0,0.5999999989617143,0.0,0.0,0.4000000010382857,0.030267094012402233,0.9697329059875978,0.0,0.0,0.0,0.0,1
2026-02-23,2,0.002210368580789274,2.6505242445296062e-11,1.9230769246520576,0.0,0.5999999989352091,0.0,0.0,0.40000000106479094,0.051919384711952295,0.9480806152880477,0.0,0.0,0.0,0.0,1
2026-02-24,2,0.0013640646572346748,3.1227714858417244e-11,1.9230769246982522,0.0,0.5999999989039814,0.0,0.0,0.4000000010960187,0.9908664634148654,0.009133536585134636,0.0,0.0,0.0,0.0,0
2026-02-25,2,-0.0003761273318532132,4.779249218600512e-11,1.9230769246275539,0.0,0.5999999989517738,0.0,0.0,0.40000000104822614,0.03881019352192488,0.9611898064780752,0.0,0.0,0.0,0.0,1
2026-02-26,2,0.002692846049969807,6.267528163128588e-11,1.923076924720269,0.0,0.5999999988890985,0.0,0.0,0.4000000011109014,0.9909516169327706,0.009048383067229479,0.0,0.0,0.0,0.0,0
2026-02-27,2,0.0033493056521853993,5.2051724042101455e-11,1.9230769246432686,0.0,0.5999999989411503,0.0,0.0,0.40000000105884975,0.051671430590940134,0.9483285694090599,0.0,0.0,0.0,0.0,1
